Station,Total_Rows,Row_Completeness_%,Missing_Timestamps,Duplicate_Timestamps,WindSpeed_Missing,WindSpeed_Valid_%,WindDir_Missing,WindDir_Valid_%,AirTemp_Missing,AirTemp_Valid_%,RelHum_Missing,RelHum_Valid_%,AtmPress_Missing,AtmPress_Valid_%,GlobalRad_Missing,GlobalRad_Valid_%
WS01,8760,100.0,0,0,0,100.0,0,100.0,0,100.0,0,100.0,0,100.0,0,100.0
WS02,8760,100.0,0,0,536,93.88,536,93.88,536,93.88,536,93.88,536,93.88,536,93.88
WS03,8760,100.0,0,0,53,99.39,53,99.39,53,99.39,53,99.39,53,99.39,53,99.39
WS04,8760,100.0,0,0,11,99.87,11,99.87,11,99.87,11,99.87,11,99.87,11,99.87
WS05,8760,100.0,0,0,1,99.99,1,99.99,1,99.99,1,99.99,1,99.99,1,99.99
WS06,8443,96.38,0,0,0,96.38,0,96.38,0,96.38,0,96.38,0,96.38,0,96.38
WS07,8760,100.0,0,0,979,88.82,979,88.82,979,88.82,979,88.82,979,88.82,987,88.73
WS08,8760,100.0,0,0,0,100.0,0,100.0,0,100.0,0,100.0,0,100.0,0,100.0
WS09,8760,100.0,0,0,373,95.74,373,95.74,373,95.74,373,95.74,373,95.74,373,95.74
WS10,8760,100.0,0,0,22,99.75,22,99.75,22,99.75,22,99.75,22,99.75,22,99.75
WS11,8760,100.0,0,0,2329,73.41,2329,73.41,2329,73.41,2329,73.41,2329,73.41,2329,73.41
WS12,8760,100.0,0,0,0,100.0,0,100.0,0,100.0,0,100.0,0,100.0,0,100.0
WS13,8760,100.0,0,0,175,98.0,175,98.0,175,98.0,175,98.0,175,98.0,343,96.08
WS14,8760,100.0,0,0,1438,83.58,1438,83.58,1438,83.58,1438,83.58,1438,83.58,1391,84.12
WS15,8760,100.0,0,0,816,90.68,816,90.68,816,90.68,816,90.68,816,90.68,816,90.68
WS16,8760,100.0,0,0,2,99.98,2,99.98,2,99.98,2,99.98,2,99.98,2,99.98
WS17,8717,99.51,0,0,848,89.83,848,89.83,848,89.83,848,89.83,848,89.83,840,89.92
WS18,8760,100.0,0,0,28,99.68,28,99.68,28,99.68,28,99.68,28,99.68,28,99.68
WS19,8760,100.0,0,0,0,100.0,0,100.0,0,100.0,0,100.0,0,100.0,1049,88.03
WS20,8758,99.98,0,0,41,99.51,41,99.51,41,99.51,41,99.51,41,99.51,41,99.51
WS21,8760,100.0,0,0,11,99.87,11,99.87,11,99.87,11,99.87,11,99.87,11,99.87
WS22,8760,100.0,0,0,11,99.87,11,99.87,11,99.87,11,99.87,11,99.87,11,99.87
WS23,8760,100.0,0,0,0,100.0,0,100.0,0,100.0,0,100.0,0,100.0,1262,85.59
WS24,8760,100.0,0,0,0,100.0,0,100.0,0,100.0,0,100.0,0,100.0,0,100.0
WS25,8760,100.0,0,0,10,99.89,10,99.89,10,99.89,10,99.89,10,99.89,10,99.89
WS26,8760,100.0,0,0,14,99.84,14,99.84,14,99.84,14,99.84,14,99.84,118,98.65
WS27,8760,100.0,0,0,19,99.78,19,99.78,19,99.78,19,99.78,19,99.78,19,99.78
WS28,8760,100.0,0,0,4,99.95,4,99.95,4,99.95,4,99.95,4,99.95,4,99.95
WS29,8760,100.0,0,0,7,99.92,7,99.92,7,99.92,7,99.92,7,99.92,7,99.92
WS30,8759,99.99,0,0,2,99.97,2,99.97,2,99.97,2,99.97,2,99.97,2,99.97
WS31,8748,99.86,0,0,739,91.43,739,91.43,739,91.43,739,91.43,739,91.43,739,91.43
WS32,8760,100.0,0,0,1706,80.53,1706,80.53,1706,80.53,1706,80.53,1706,80.53,924,89.45
WS33,8760,100.0,0,0,897,89.76,897,89.76,897,89.76,897,89.76,897,89.76,896,89.77
WS34,8760,100.0,0,0,1846,78.93,1846,78.93,1846,78.93,1846,78.93,1846,78.93,1846,78.93
WS35,8760,100.0,0,0,642,92.67,642,92.67,642,92.67,642,92.67,642,92.67,642,92.67
WS36,8760,100.0,0,0,21,99.76,21,99.76,21,99.76,21,99.76,21,99.76,21,99.76
WS37,8760,100.0,0,0,353,95.97,353,95.97,353,95.97,353,95.97,353,95.97,353,95.97
WS38,8325,95.03,0,0,32,94.67,32,94.67,32,94.67,32,94.67,32,94.67,8325,0.0
WS39,8760,100.0,0,0,102,98.84,102,98.84,102,98.84,102,98.84,102,98.84,102,98.84
WS40,8760,100.0,0,0,141,98.39,141,98.39,141,98.39,141,98.39,141,98.39,141,98.39
